id,title,release_date,genres,year
28032,Thumbelina,3/30/1994,"['Animation', 'Drama', 'Family', 'Fantasy']",1994
11326,Tommy,3/19/1975,"['Drama', 'Music']",1975
28377,Hell Night,8/28/1981,['Horror'],1981
10975,Armour of God II: Operation Condor,2/7/1991,"['Action', 'Adventure', 'Crime', 'Thriller']",1991
10974,Armour of God,8/16/1986,"['Adventure', 'Action', 'Comedy']",1986
10398,Double Jeopardy,9/24/1999,"['Crime', 'Drama', 'Mystery', 'Thriller']",1999
2290,Jakob the Liar,9/16/1999,"['Comedy', 'Drama', 'History']",1999
24071,Mumford,9/24/1999,"['Comedy', 'Drama', 'Romance']",1999
62994,Dog Park,9/14/1998,"['Romance', 'Comedy']",1998
60994,Guinevere,9/4/1999,"['Drama', 'Romance']",1999
16112,The Adventures of Elmo in Grouchland,10/1/1999,['Family'],1999
32305,Simon Sez,1/1/1999,"['Action', 'Comedy', 'Thriller']",1999
14429,Drive Me Crazy,10/1/1999,"['Drama', 'Comedy', 'Romance', 'Family']",1999
15198,"Mystery, Alaska",10/1/1999,"['Drama', 'Comedy']",1999
6415,Three Kings,9/27/1999,"['Action', 'Adventure', 'Comedy']",1999
24066,"Happy, Texas",12/3/1999,"['Comedy', 'Crime']",1999
21430,New Rose Hotel,9/5/1998,"['Drama', 'Science Fiction', 'Mystery']",1998
10381,Plunkett & MacLeane,1/22/1999,"['Drama', 'Action', 'Comedy']",1999
171982,Romance,10/9/2012,"['Romance', 'Drama', 'Comedy']",2012
42486,Napoleon and Samantha,7/5/1972,"['Action', 'Adventure', 'Drama', 'Family']",1972
60285,Alvarez Kelly,10/1/1966,"['Action', 'War', 'Western']",1966
5622,And the Ship Sails On,10/6/1983,"['Comedy', 'Drama', 'Foreign', 'Music']",1983
10349,The Dark Half,4/23/1993,"['Mystery', 'Horror']",1993
42518,Gulliver's Travels,11/10/1939,"['Action', 'Adventure', 'Animation', 'Family']",1939
29787,Monkey Shines,7/29/1988,"['Thriller', 'Drama', 'Horror', 'Science Fiction']",1988
9638,Phantasm,3/28/1979,"['Horror', 'Science Fiction']",1979
10576,Psycho II,6/3/1983,"['Horror', 'Mystery', 'Thriller']",1983
12662,Psycho III,6/27/1986,"['Horror', 'Thriller']",1986
61369,Rain,10/12/1932,['Drama'],1932
11712,Sanjuro,1/1/1962,"['Drama', 'Action', 'Comedy']",1962
12618,Random Hearts,10/8/1999,"['Drama', 'Romance']",1999
13824,Superstar,10/8/1999,"['Comedy', 'Family']",1999
226,Boys Don't Cry,9/2/1999,"['Crime', 'Drama']",1999
288772,"Five Wives, Three Secretaries and Me",10/8/1999,['Documentary'],1999
55107,L'ennui,11/14/1998,"['Drama', 'Romance']",1998
69851,The Grandfather,10/16/1998,"['Drama', 'Foreign']",1998
10388,The Limey,5/15/1999,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",1999
17198,The Mating Habits of the Earthbound Human,9/3/1999,"['Comedy', 'Romance', 'Science Fiction']",1999
44857,Molly,10/22/1999,"['Drama', 'Comedy', 'Romance']",1999
9346,Risky Business,8/5/1983,"['Comedy', 'Romance']",1983
861,Total Recall,6/1/1990,"['Action', 'Adventure', 'Science Fiction']",1990
14412,Body Heat,8/28/1981,"['Drama', 'Thriller', 'Crime', 'Romance']",1981
9377,Ferris Bueller's Day Off,6/11/1986,['Comedy'],1986
11541,The Year of Living Dangerously,12/17/1982,"['War', 'Drama', 'Romance']",1982
2457,Children of Paradise,3/15/1945,"['Drama', 'Romance']",1945
11901,High Plains Drifter,4/19/1973,['Western'],1973
4929,Hang 'em High,7/31/1968,['Western'],1968
85325,Citizen's Band,9/29/1977,['Comedy'],1977
11230,Drunken Master,10/5/1978,"['Action', 'Comedy']",1978
8416,The Conformist,10/21/1970,['Drama'],1970
11054,Hairspray,2/16/1988,"['Comedy', 'Family', 'Music']",1988
851,Brief Encounter,11/24/1945,"['Drama', 'Romance']",1945
24453,The Razor's Edge,10/19/1984,['Drama'],1984
18254,Reds,12/25/1981,"['Drama', 'History']",1981
56235,Return with Honor,6/11/1999,['Documentary'],1999
20123,Time of the Gypsies,12/21/1988,"['Drama', 'Comedy', 'Crime', 'Fantasy']",1988
16642,Days of Heaven,9/13/1978,"['Drama', 'Romance']",1978
2593,The Fire Within,10/14/1963,['Drama'],1963
42020,El Amor Brujo,3/23/1986,[],1986
3086,The Lady Eve,2/25/1941,"['Comedy', 'Romance']",1941
16305,Sullivan's Travels,11/30/1941,"['Adventure', 'Comedy', 'Drama', 'Romance']",1941
32255,The Palm Beach Story,11/7/1942,"['Comedy', 'Romance']",1942
48797,Man Facing Southeast,9/9/1986,"['Mystery', 'Science Fiction', 'Drama']",1986
19997,Niagara,1/26/1953,"['Crime', 'Drama', 'Thriller']",1953
3767,Gilda,2/14/1946,"['Drama', 'Romance', 'Thriller']",1946
17352,South Pacific,3/18/1958,"['Music', 'Romance', 'War']",1958
535,Flashdance,4/14/1983,"['Drama', 'Music', 'Romance']",1983
2731,Indochine,4/15/1992,"['Drama', 'Romance']",1992
1654,The Dirty Dozen,6/15/1967,"['Action', 'Adventure', 'War']",1967
31043,Mike's Murder,3/9/1984,"['Drama', 'Mystery', 'Thriller']",1984
14831,Help!,7/29/1965,"['Comedy', 'Music']",1965
658,Goldfinger,9/17/1964,"['Adventure', 'Action', 'Thriller']",1964
657,From Russia with Love,10/11/1963,"['Action', 'Thriller', 'Adventure']",1963
646,Dr. No,10/4/1962,"['Adventure', 'Action', 'Thriller']",1962
5689,The Blue Lagoon,7/5/1980,"['Romance', 'Adventure', 'Drama']",1980
391,A Fistful of Dollars,9/12/1964,['Western'],1964
8052,Hard Eight,2/28/1996,"['Drama', 'Thriller']",1996
772,Home Alone 2: Lost in New York,11/19/1992,"['Comedy', 'Family', 'Adventure', 'Crime']",1992
65448,Penitentiary,12/1/1979,"['Action', 'Drama']",1979
65452,Penitentiary II,4/2/1982,"['Action', 'Thriller']",1982
31650,Someone to Watch Over Me,10/9/1987,"['Crime', 'Drama', 'Romance', 'Thriller']",1987
73575,Sparrows,5/14/1926,['Drama'],1926
302579,Naturally Native,10/8/1999,['Drama'],1999
550,Fight Club,10/15/1999,['Drama'],1999
97537,Beefcake,9/1/1998,"['Drama', 'History', 'Documentary']",1998
12220,The Story of Us,10/13/1999,"['Comedy', 'Drama', 'Romance']",1999
1610,Fever Pitch,4/4/1997,"['Comedy', 'Romance']",1997
53151,Joe the King,10/17/1999,"['Crime', 'Drama']",1999
42881,Julien Donkey-Boy,9/7/1999,"['Comedy', 'Drama']",1999
29064,The Omega Code,10/15/1999,"['Horror', 'Thriller']",1999
404,The Straight Story,10/15/1999,['Drama'],1999
42196,The Bad Seed,9/12/1956,"['Crime', 'Drama', 'Horror', 'Thriller']",1956
36819,Time Bandits,7/13/1981,"['Family', 'Fantasy', 'Science Fiction', 'Adventure', 'Comedy']",1981
42726,A Man and a Woman,1/1/1966,"['Drama', 'Romance']",1966
9343,Fitzcarraldo,3/4/1982,"['Action', 'Adventure', 'Drama']",1982
16858,All That Jazz,12/20/1979,"['Drama', 'Music']",1979
42006,Red Sorghum,1/1/1987,"['Drama', 'War']",1987
11562,Crimes and Misdemeanors,10/13/1989,"['Comedy', 'Drama']",1989
10496,Bats,10/22/1999,"['Horror', 'Thriller']",1999
16162,The Best Man,10/22/1999,"['Drama', 'Comedy']",1999
8649,Bringing Out the Dead,10/22/1999,['Drama'],1999
31306,Crazy in Alabama,10/22/1999,"['Comedy', 'Drama']",1999
10563,Three to Tango,10/22/1999,"['Comedy', 'Romance']",1999
14484,Body Shots,10/7/1999,"['Drama', 'Romance']",1999
214735,Men Cry Bullets,10/8/1998,"['Comedy', 'Drama']",1998
94857,Brother Can You Spare A Dime,8/6/1975,['Documentary'],1975
32043,The Guardian,4/27/1990,"['Drama', 'Horror', 'Mystery', 'Thriller']",1990
15247,The Ipcress File,3/18/1965,['Thriller'],1965
29251,On Any Sunday,7/28/1971,['Documentary'],1971
5548,RoboCop,7/17/1987,"['Action', 'Thriller', 'Science Fiction']",1987
5549,RoboCop 2,6/22/1990,"['Action', 'Adventure', 'Crime', 'Science Fiction', 'Thriller']",1990
856,Who Framed Roger Rabbit,6/21/1988,"['Fantasy', 'Animation', 'Comedy', 'Crime', 'Family']",1988
38772,Melvin and Howard,9/19/1980,"['Comedy', 'Drama']",1980
699,For Your Eyes Only,6/23/1981,"['Adventure', 'Action', 'Thriller']",1981
709,Licence to Kill,7/7/1989,"['Adventure', 'Action', 'Thriller']",1989
253,Live and Let Die,7/5/1973,"['Adventure', 'Action', 'Thriller']",1973
13511,Rawhead Rex,10/1/1986,['Horror'],1986
660,Thunderball,12/16/1965,"['Adventure', 'Action', 'Thriller']",1965
46798,The City,10/22/1999,['Drama'],1999
11377,House on Haunted Hill,10/29/1999,"['Horror', 'Mystery', 'Thriller']",1999
26149,Music of the Heart,10/29/1999,['Drama'],1999
492,Being John Malkovich,9/30/1999,"['Fantasy', 'Drama', 'Comedy']",1999
108346,Dreaming of Joseph Lees,10/29/1999,"['Romance', 'Drama']",1999
98480,Man Of The Century,10/29/1999,"['Romance', 'Comedy']",1999
128,Princess Mononoke,7/12/1997,"['Adventure', 'Fantasy', 'Animation']",1997
46286,The Suburbans,10/29/1999,"['Comedy', 'Drama']",1999
8672,My Best Fiend,5/17/1999,['Documentary'],1999
8056,Train of Life,9/16/1998,"['Drama', 'Comedy', 'War']",1998
2020,The Bachelor,11/5/1999,['Comedy'],1999
9481,The Bone Collector,11/4/1999,"['Drama', 'Mystery', 'Thriller', 'Crime']",1999
9008,The Insider,10/28/1999,"['Drama', 'Thriller']",1999
14242,American Movie,11/5/1999,['Documentary'],1999
16129,Last Night,10/23/1998,"['Romance', 'Drama', 'Science Fiction']",1998
104103,Portraits Chinois,9/12/1996,"['Drama', 'Comedy']",1996
11489,Rosetta,5/23/1999,['Drama'],1999
28145,"They Shoot Horses, Don't They?",12/10/1969,['Drama'],1969
51371,Battling Butler,9/19/1926,"['Drama', 'Comedy']",1926
18111,Bride of Re-Animator,10/1/1989,"['Comedy', 'Horror', 'Science Fiction']",1989
31361,Bustin' Loose,5/22/1981,"['Adventure', 'Comedy']",1981
11223,Coma,1/6/1978,"['Thriller', 'Mystery', 'Drama']",1978
16281,Creepshow,11/12/1982,"['Horror', 'Comedy', 'Fantasy']",1982
16288,Creepshow 2,5/1/1987,['Horror'],1987
1694,Re-Animator,10/18/1985,"['Science Fiction', 'Comedy', 'Horror']",1985
476,Drugstore Cowboy,9/9/1989,"['Crime', 'Drama']",1989
37094,Falling Down,2/26/1993,"['Crime', 'Drama', 'Thriller']",1993
13555,The Funhouse,3/13/1981,['Horror'],1981
961,The General,12/31/1926,"['Action', 'Adventure', 'Comedy', 'Drama']",1926
73969,My Best Girl,10/31/1927,"['Drama', 'Comedy', 'Romance']",1927
24831,Piranha,8/3/1978,['Horror'],1978
64963,Rough Night in Jericho,1/1/1967,['Western'],1967
85160,Slaughterhouse,8/28/1987,['Horror'],1987
25560,The Taming of the Shrew,3/7/1967,"['Comedy', 'Drama', 'Romance']",1967
21610,Nighthawks,3/17/1981,"['Action', 'Crime', 'Thriller']",1981
11878,Yojimbo,4/25/1961,"['Drama', 'Thriller']",1961
11510,Repossessed,9/14/1990,"['Comedy', 'Horror']",1990
11234,The Omega Man,8/1/1971,"['Action', 'Science Fiction', 'Thriller']",1971
957,Spaceballs,6/24/1987,"['Comedy', 'Science Fiction']",1987
11886,Robin Hood,11/8/1973,"['Animation', 'Family']",1973
37853,Mister Roberts,7/13/1955,"['Comedy', 'Drama', 'Family', 'War']",1955
62204,Quest for Fire,12/15/1981,"['Adventure', 'Drama']",1981
11040,Little Big Man,12/14/1970,"['Adventure', 'Western', 'History']",1970
21849,A Face in the Crowd,10/17/1957,['Drama'],1957
1621,Trading Places,6/7/1983,['Comedy'],1983
14035,Meatballs,6/28/1979,['Comedy'],1979
40771,Meatballs Part II,7/27/1984,['Comedy'],1984
40772,Meatballs III: Summer Job,10/26/1986,['Comedy'],1986
40773,Meatballs 4,3/6/1992,['Comedy'],1992
11498,Dead Again,8/23/1991,['Thriller'],1991
11790,Peter's Friends,9/18/1992,"['Comedy', 'Drama']",1992
29371,The Incredibly True Adventure of Two Girls In Love,6/16/1995,"['Comedy', 'Drama', 'Romance']",1995
276635,Experience Preferred...But Not Essential,12/22/1982,['Comedy'],1982
47941,Under the Rainbow,7/31/1981,['Comedy'],1981
29048,How I Won the War,10/23/1967,"['Comedy', 'War']",1967
19052,Light It Up,11/4/1999,"['Drama', 'Thriller']",1999
21349,Anywhere But Here,11/12/1999,"['Drama', 'Comedy', 'Romance']",1999
1832,Dogma,11/12/1999,"['Fantasy', 'Comedy', 'Adventure']",1999
10047,The Messenger: The Story of Joan of Arc,10/18/1999,"['Adventure', 'Drama', 'Action', 'History', 'War']",1999
10228,Pokémon: The First Movie: Mewtwo Strikes Back,7/18/1998,['Animation'],1998
47692,Felicia's Journey,11/24/1999,['Drama'],1999
18561,Oxygen,11/12/1999,"['Mystery', 'Thriller', 'Crime', 'Drama']",1999
144953,Where's Marlowe?,1/1/1998,"['Comedy', 'Mystery', 'Thriller']",1998
37426,The Ape,9/30/1940,"['Drama', 'Horror', 'Science Fiction']",1940
51787,British Intelligence,1/29/1940,"['Action', 'Adventure']",1940
11663,The Commitments,8/14/1991,"['Comedy', 'Drama', 'Music']",1991
13485,Holiday Inn,8/4/1942,"['Comedy', 'Drama', 'Music', 'Romance']",1942
9289,The Longest Day,9/25/1962,"['Action', 'Drama', 'History', 'War']",1962
9264,Poison Ivy,5/8/1992,['Thriller'],1992
18222,Poison Ivy: The New Seduction,1/1/1997,"['Thriller', 'Romance']",1997
124853,Ten Benny,4/9/1995,"['Drama', 'Action']",1995
11165,Tora! Tora! Tora!,1/26/1970,"['History', 'Action', 'Drama', 'Adventure', 'War']",1970
4203,Women on the Verge of a Nervous Breakdown,3/14/1988,"['Comedy', 'Drama']",1988
24226,The Verdict,12/8/1982,['Drama'],1982
88875,The Effect of Gamma Rays on Man-in-the-Moon Marigolds,12/20/1972,['Drama'],1972
11379,The Adventures of Buckaroo Banzai Across the 8th Dimension,8/15/1984,"['Comedy', 'Science Fiction']",1984
29154,Stand and Deliver,3/11/1988,['Drama'],1988
2039,Moonstruck,12/18/1987,"['Comedy', 'Drama', 'Romance']",1987
77915,The Sandpiper,6/23/1965,"['Drama', 'Romance']",1965
11943,Jeremiah Johnson,9/10/1972,"['Adventure', 'Western']",1972
11481,Repulsion,6/1/1965,"['Drama', 'Horror', 'Thriller']",1965
2690,Irma la Douce,6/4/1963,"['Comedy', 'Romance']",1963
20565,42 Up,7/28/1998,"['Documentary', 'Foreign']",1998
27141,Liberty Heights,11/17/1999,['Drama'],1999
10399,Mansfield Park,11/12/1999,"['Drama', 'Romance']",1999
90762,"Goodbye, 20th Century",11/17/1998,"['Adventure', 'Comedy', 'Fantasy', 'Science Fiction']",1998
2668,Sleepy Hollow,11/18/1999,"['Drama', 'Fantasy', 'Thriller', 'Mystery']",1999
36643,The World Is Not Enough,11/8/1999,"['Adventure', 'Action', 'Thriller']",1999
99,All About My Mother,4/19/1999,"['Comedy', 'Drama']",1999
159569,Home Page,10/14/1998,['Documentary'],1998
77010,The Living Dead Girl,10/23/1982,['Horror'],1982
25898,Babes in Toyland,12/14/1934,['Comedy'],1934
9647,Scrooged,11/22/1988,"['Fantasy', 'Comedy', 'Drama']",1988
11787,Harvey,10/13/1950,"['Comedy', 'Drama']",1950
5156,Bicycle Thieves,11/24/1948,['Drama'],1948
24276,Matewan,8/28/1987,['Drama'],1987
11953,Kagemusha,4/26/1980,"['Action', 'Drama', 'History', 'War']",1980
44662,47 Samurai,11/3/1962,"['History', 'Drama', 'Action']",1962
29005,McCabe & Mrs. Miller,6/24/1971,['Western'],1971
26371,Maurice,9/18/1987,"['Drama', 'Romance']",1987
596,The Grapes of Wrath,3/15/1940,['Drama'],1940
52470,My Man Godfrey,10/11/1957,['Comedy'],1957
20334,The Shop Around the Corner,1/11/1940,"['Comedy', 'Romance']",1940
11393,The Natural,5/11/1984,['Drama'],1984
31121,Shampoo,3/13/1975,"['Comedy', 'Drama', 'Romance']",1975
293,A River Runs Through It,10/9/1992,['Drama'],1992
10998,Fatal Attraction,9/11/1987,"['Romance', 'Drama', 'Thriller', 'Horror', 'Mystery']",1987
12235,Jagged Edge,10/4/1985,"['Mystery', 'Thriller']",1985
36094,Stanley & Iris,2/9/1990,"['Drama', 'Romance']",1990
9013,Midnight Run,7/20/1988,"['Adventure', 'Comedy', 'Crime']",1988
11005,Awakenings,12/19/1990,['Drama'],1990
59820,Come See the Paradise,8/17/1990,"['Drama', 'Romance', 'History']",1990
2924,Backdraft,5/24/1991,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",1991
177,The Fisher King,9/9/1991,"['Comedy', 'Drama']",1991
38557,The River,12/1/1984,['Drama'],1984
42087,Country,9/29/1984,['Drama'],1984
13681,Places in the Heart,9/11/1984,"['Drama', 'Family']",1984
34760,"'night, Mother",9/12/1986,['Drama'],1986
9946,End of Days,11/24/1999,"['Action', 'Fantasy', 'Horror', 'Mystery']",1999
863,Toy Story 2,10/30/1999,"['Animation', 'Comedy', 'Family']",1999
31582,Flawless,11/26/1999,"['Comedy', 'Drama']",1999
125520,Miss Julie,9/12/1999,['Drama'],1999
22267,Ride with the Devil,11/24/1999,"['Drama', 'War', 'Romance', 'Western']",1999
55123,Tumbleweeds,11/28/1999,"['Comedy', 'Drama']",1999
5486,A Bay of Blood,8/8/1971,"['Horror', 'Thriller']",1971
10411,The Distinguished Gentleman,12/4/1992,['Comedy'],1992
41462,The Hitch-Hiker,10/16/1953,"['Crime', 'Thriller']",1953
1718,Santa Fe Trail,12/13/1940,"['Action', 'Western']",1940
28604,Lauderdale,1/1/1989,[],1989
15506,Agnes Browne,11/8/1999,['Drama'],1999
20024,The End of the Affair,12/3/1999,['Drama'],1999
78256,The End of the Affair,2/23/1955,['Romance'],1955
13787,Holy Smoke!,9/4/1999,"['Comedy', 'Drama']",1999
54933,A Map of the World,9/13/1999,['Drama'],1999
9684,Sweet and Lowdown,12/3/1999,"['Comedy', 'Drama']",1999
9586,The Bonfire of the Vanities,12/21/1990,"['Comedy', 'Drama']",1990
41638,Broadway Damage,8/26/1997,[],1997
70801,Daddy-Long-Legs,5/11/1919,"['Drama', 'Comedy']",1919
33015,Go West,11/1/1925,"['Comedy', 'Western']",1925
777,Grand Illusion,6/4/1937,"['Drama', 'History', 'War']",1937
21887,The Great Santini,10/26/1979,['Drama'],1979
5652,The James Dean Story,8/13/1957,['Documentary'],1957
19664,The Sea Wolves,7/3/1980,"['War', 'Action', 'Thriller']",1980
32331,Stealing Home,8/26/1988,"['Drama', 'Romance']",1988
76083,Tarzan the Fearless,8/11/1933,"['Action', 'Adventure']",1933
32628,Three Ages,9/24/1923,"['Drama', 'Comedy']",1923
32669,The Two Jakes,8/10/1990,"['Crime', 'Drama', 'Mystery']",1990
18161,U2: Rattle and Hum,11/4/1988,"['Documentary', 'Music']",1988
31681,Hell in the Pacific,12/19/1968,"['Drama', 'War']",1968
33666,The Glass Bottom Boat,6/9/1966,"['Comedy', 'Romance']",1966
32274,Cradle Will Rock,12/10/1999,['Drama'],1999
10402,Deuce Bigalow: Male Gigolo,12/10/1999,['Comedy'],1999
497,The Green Mile,12/10/1999,"['Fantasy', 'Drama', 'Crime']",1999
1715,The Cider House Rules,12/17/1999,['Drama'],1999
35118,Diamonds,12/10/1999,"['Comedy', 'Drama', 'Mystery']",1999
42739,The War Zone,6/11/1999,['Drama'],1999
26162,The Bat Whispers,1/1/1930,"['Crime', 'Drama', 'Mystery', 'Thriller']",1930
25188,The Last Picture Show,10/3/1971,['Drama'],1971
15515,The 7th Voyage of Sinbad,12/5/1958,"['Action', 'Adventure', 'Family', 'Fantasy']",1958
75888,Blood on the Sun,4/26/1945,"['Action', 'Drama', 'War']",1945
1439,Anna and the King,12/16/1999,"['Drama', 'History', 'Romance']",1999
2277,Bicentennial Man,12/17/1999,"['Comedy', 'Science Fiction']",1999
10137,Stuart Little,12/17/1999,"['Animation', 'Fantasy', 'Family', 'Comedy']",1999
10387,The Emperor and the Assassin,10/8/1998,"['Drama', 'History']",1998
49948,Fantasia 2000,12/17/1999,"['Animation', 'Family', 'Music']",1999
334,Magnolia,12/8/1999,['Drama'],1999
30237,Onegin,12/22/1999,"['Drama', 'Romance']",1999
50116,Simpatico,9/15/1999,"['Comedy', 'Drama']",1999
46435,Topsy-Turvy,9/3/1999,"['Comedy', 'Drama', 'Music']",1999
94260,The Alley Cats,9/12/1966,"['Drama', 'Foreign']",1966
22213,Boiling Point,4/16/1993,"['Drama', 'Action', 'Adventure', 'Crime', 'Thriller']",1993
47070,Brenda Starr,5/15/1989,"['Adventure', 'Fantasy']",1989
36492,Carnal Knowledge,10/21/1971,['Drama'],1971
624,Easy Rider,5/7/1969,"['Adventure', 'Drama']",1969
26578,The Falcon and the Snowman,1/25/1985,"['Thriller', 'Drama', 'Crime']",1985
415072,Hi-Yo Silver,4/10/1940,['Western'],1940
43103,Room at the Top,1/22/1959,"['Romance', 'Drama']",1959
43194,Ulysses,10/6/1954,['Adventure'],1954
9563,Any Given Sunday,12/16/1999,['Drama'],1999
1850,Man on the Moon,12/22/1999,"['Comedy', 'Drama', 'Romance']",1999
926,Galaxy Quest,12/23/1999,"['Comedy', 'Family', 'Science Fiction']",1999
1213,The Talented Mr. Ripley,12/25/1999,"['Thriller', 'Crime', 'Drama']",1999
10471,Next Friday,1/12/2000,['Comedy'],2000
10400,The Hurricane,9/17/1999,['Drama'],1999
10397,Angela's Ashes,12/25/1999,['Drama'],1999
20761,Play It to the Bone,12/25/1999,"['Comedy', 'Drama']",1999
12524,Titus,12/25/1999,"['Drama', 'History', 'Thriller']",1999
28216,"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr.",12/29/1999,['Documentary'],1999
36773,The Third Miracle,9/13/1999,['Drama'],1999
30814,Montana,1/1/1998,"['Drama', 'Action', 'Comedy', 'Crime']",1998
10219,Snow Falling on Cedars,12/22/1999,"['Drama', 'Romance']",1999
3558,"Girl, Interrupted",12/21/1999,['Drama'],1999
104878,Trans,9/11/1998,['Drama'],1998
41276,The Life and Times of Hank Greenberg,1/12/2000,"['Documentary', 'Family']",2000
17908,My Dog Skip,1/14/2000,"['Comedy', 'Drama', 'Family']",2000
10384,Supernova,1/14/2000,"['Horror', 'Science Fiction', 'Thriller']",2000
125317,The Quarry,9/9/1998,"['Drama', 'Foreign']",1998
48233,The Terrorist,9/12/1998,['Drama'],1998
10236,The Way We Were,10/17/1973,"['Drama', 'Romance']",1973
71067,Tess of the Storm Country,11/12/1922,"['Romance', 'Drama']",1922
632,Stalag 17,5/29/1953,"['Comedy', 'Drama', 'War']",1953
11851,The Presidio,6/10/1988,"['Action', 'Adventure', 'Crime', 'Drama', 'Mystery', 'Thriller']",1988
5924,Papillon,12/13/1973,"['Crime', 'Drama']",1973
33734,Pal Joey,10/25/1957,"['Comedy', 'Music', 'Romance']",1957
14886,The Last Detail,12/11/1973,"['Comedy', 'Drama']",1973
26617,Five Easy Pieces,9/12/1970,['Drama'],1970
11900,Even Dwarfs Started Small,9/16/1970,"['Comedy', 'Drama']",1970
10493,Dead Calm,4/7/1989,"['Crime', 'Thriller', 'Horror', 'Drama']",1989
16241,The Boys from Brazil,10/5/1978,"['Horror', 'Drama', 'Thriller', 'Science Fiction']",1978
27632,Black Sunday,8/11/1960,['Horror'],1960
22160,Against All Odds,3/2/1984,"['Action', 'Adventure', 'Crime', 'Drama', 'Mystery', 'Romance', 'Thriller']",1984
4460,The Snows of Kilimanjaro,8/18/1952,"['Action', 'Adventure', 'Drama', 'Romance']",1952
9644,National Lampoon's Loaded Weapon 1,2/4/1993,['Comedy'],1993
43455,The Loves of Carmen,8/23/1948,"['Drama', 'Romance']",1948
13342,Fast Times at Ridgemont High,8/13/1982,['Comedy'],1982
35119,A Cry in the Dark,11/11/1988,['Drama'],1988
21256,Born to Win,12/1/1971,"['Comedy', 'Crime', 'Drama']",1971
14919,Batman: Mask of the Phantasm,12/25/1993,"['Action', 'Adventure', 'Animation', 'Family']",1993
14040,American Flyers,8/16/1985,['Drama'],1985
75641,Voyage of the Damned,12/22/1976,['Drama'],1976
17343,Vampyros Lesbos,7/15/1971,['Horror'],1971
22692,A Star Is Born,4/27/1937,['Drama'],1937
47620,Poison,4/5/1991,"['Drama', 'Horror', 'Science Fiction']",1991
2990,Pacific Heights,9/28/1990,"['Crime', 'Thriller']",1990
38775,Night Tide,8/15/1961,['Thriller'],1961
10831,The Draughtsman's Contract,10/2/1982,"['Comedy', 'Mystery', 'Romance']",1982
21193,Carmen,3/14/1984,"['Music', 'Drama']",1984
33078,A Zed & Two Noughts,10/4/1985,"['Comedy', 'Drama']",1985
16672,Woman in the Dunes,2/15/1964,"['Drama', 'Thriller']",1964
10472,Down to You,1/21/2000,"['Comedy', 'Drama', 'Family', 'Romance']",2000
123277,Hellhounds on My Trail: The Afterlife of Robert Johnson,2/28/2000,['Music'],2000
79474,"Not Love, Just Frenzy",11/15/1996,"['Comedy', 'Drama', 'Romance', 'Thriller']",1996
97805,Wirey Spindell,1/21/2000,[],2000
53714,Another Man's Poison,11/20/1951,"['Crime', 'Drama', 'Thriller']",1951
21489,The Odessa File,10/17/1974,"['Drama', 'Thriller']",1974
51392,The Saphead,9/1/1920,"['Drama', 'Comedy']",1920
32600,Seven Chances,3/11/1925,"['Comedy', 'Romance']",1925
110479,Smashing Time,12/20/1967,['Comedy'],1967
299121,Train Ride to Hollywood,10/1/1975,"['Fantasy', 'Comedy']",1975
13005,Where the Buffalo Roam,4/25/1980,"['Comedy', 'Drama']",1980
65134,Zachariah,1/12/1971,"['Western', 'Action', 'Comedy']",1971
121738,Kestrel's Eye,12/25/1998,"['Documentary', 'Foreign']",1998
18681,Eye of the Beholder,9/4/1999,"['Drama', 'Mystery', 'Thriller']",1999
75531,Isn't She Great,1/28/2000,"['Drama', 'Comedy']",2000
20468,The Big Tease,1/1/1999,"['Comedy', 'Foreign']",1999
14521,The Cup,8/29/1999,['Comedy'],1999
46835,Santitos,1/23/1999,"['Drama', 'Foreign', 'Romance']",1999
10406,Encino Man,5/22/1992,"['Comedy', 'Family']",1992
14741,The Goodbye Girl,11/30/1977,"['Comedy', 'Romance']",1977
32015,I Am Cuba,9/6/1964,['Drama'],1964
1883,Malcolm X,11/18/1992,"['Drama', 'History']",1992
2005,Sister Act,5/28/1992,"['Music', 'Comedy']",1992
6279,Sister Act 2: Back in the Habit,12/9/1993,"['Music', 'Comedy']",1993
11087,The Hand that Rocks the Cradle,1/10/1992,['Thriller'],1992
7305,Alive,1/15/1993,"['Action', 'Adventure', 'Drama', 'Thriller']",1993
24735,Agnes of God,8/21/1985,"['Drama', 'Mystery']",1985
9475,Scent of a Woman,12/23/1992,['Drama'],1992
8872,Wayne's World,2/14/1992,"['Music', 'Comedy']",1992
8873,Wayne's World 2,12/10/1993,"['Music', 'Comedy']",1993
11287,A League of Their Own,7/1/1992,['Comedy'],1992
9869,Patriot Games,6/4/1992,"['Drama', 'Action', 'Thriller', 'Crime']",1992
619,The Bodyguard,11/25/1992,"['Thriller', 'Action', 'Drama', 'Music', 'Romance']",1992
9374,Death Becomes Her,7/30/1992,"['Fantasy', 'Comedy']",1992
11259,Far and Away,5/22/1992,"['Adventure', 'Drama', 'Romance', 'Western']",1992
8293,Howards End,3/13/1992,"['Drama', 'Romance']",1992
11068,Singles,9/18/1992,"['Comedy', 'Drama', 'Romance']",1992
1923,Twin Peaks: Fire Walk with Me,6/3/1992,"['Drama', 'Mystery']",1992
